no asian oriental	negate
thank you goodbye	thankyou
mexican	inform
dont care	inform
thank you good bye	thankyou
thank you good bye	thankyou
thank you good bye	thankyou
im looking for a moderately priced restaurant	inform
thank you good bye	thankyou
any	inform
bye	bye
address	request
how about international	reqalts
i am looking for a restaurant in the west part of town	inform
i dont care	inform
noise	null
thank you good bye	thankyou
and the phone number	request
dont care	inform
what is the post code	request
expensive	inform
what is the address	request
yes	affirm
thank you good bye	thankyou
uh is there a korean restaurant in the center of town	confirm
phone number	request
expensive restaurant european food	inform
thank you good bye	thankyou
goodbye	bye
im looking for a cheap restaurant serving russian food	inform
brazilian	inform
okay good bye	bye
area	request
moderate restaurant east part of town	inform
address	request
it doesnt matter	inform
post code	request
phone number	request
whats the phone number	request
something serving swiss food	inform
yeah	affirm
bye	bye
yes	affirm
how about indian food	reqalts
what is the phone number	request
yeah a cheap restaurant serving international food	affirm
uh yes can i get a moderate moderately priced restaurant in the west part of town	affirm
uh im looking for an expensive restaurant in the east part of town	inform
right	affirm
is there an asian oriental restaurant in the north part of town	inform
gastropub type food	inform
how about portuguese food	reqalts
what is the post code	request
im looking for a restaurant that serves turkish food	inform
phone number	request
is there anything else	reqalts
cheap restaurant in he north part of town	inform
area	request
thank you good bye	thankyou
thank you good bye	thankyou
south	inform
i want a restaurant in the center that serves seafood	inform
no	negate
thank you goodbye	thankyou
any	inform
thank you good bye	thankyou
whats the address and phone number	request
thank you good bye	thankyou
you have a shitty system	null
phone number	request
address	request
i want thai food	inform
the south	inform
thank you good bye	thankyou
address	request
yes	affirm
italian food	inform
uh restaurant in the west part of town	inform
how about a cheap asian oriental restaurant	reqalts
im looking for kitalian food in an expensive res	inform
how about a moderately priced restauran	reqalts
what type of food do they serve	request
phone number	request
thank you good bye	thankyou
sil	null
i hate golden wok is there anything else	reqalts
im looking for a restaurant in any area that serves	inform
thank you good bye	thankyou
british expensive	inform
noise	null
thank you good bye	thankyou
whats the address	request
thank you good bye	thankyou
im looking for a british restaurant	inform
thank you good bye	thankyou
thank you good bye	thankyou
phone number	request
yes	affirm
what type of food	request
thank you good bye	thankyou
spanish food	inform
east part of town	inform
noise	null
uh yes an expensive restaurant	affirm
thank you good bye	thankyou
dont care	inform
post code	request
thank you good bye	thankyou
im looking for a restaurant serving venetian food	inform
restaurant in the west part of town	inform
im looking for a cheap jamaican restaurant	inform
how about ah one that serves asian oriental	reqalts
food	inform
yes	affirm
no british food	negate
thank you and goodbye	thankyou
vietnamese	inform
moderate	inform
i dont care	inform
i dont care	inform
portuguese food	inform
food type	inform
yes	affirm
thank you good bye	thankyou
expensive restaurant in the south	inform
okay uh thank you and good bye	thankyou
south	inform
catalen food	inform
address	request
can i have the address	request
is there anything else	reqalts
thank you good bye	thankyou
address	request
type of food	request
can i get the address and post code	request
i want french food	inform
id like a moderately priced restaurant in the east part of town	inform
can i have the address	request
mexican food	inform
i want a moderately priced restaurant in the west part of town	inform
unintelligent	null
thank you goodbye	thankyou
how about european food	reqalts
phone number	request
what is the phone number	request
what type of food	request
i dont care	inform
sil	null
caribbean food	inform
what type of food	request
the north part	inform
unintelligible	null
with malaysian food	inform
id like a moderately priced restaurant in the west part of town	inform
can i get the address	request
i dont care	inform
thank you good bye	thankyou
no	negate
post code	request
modern european	inform
and what is the post code	request
what about asian oriental food	reqalts
asian	inform
south	inform
cheap	inform
whats their phone number	request
is there anything that serves north american	reqalts
right	affirm
whats their address	request
what is the address and phone number	request
and whats the phone number	request
chinese food	inform
catalonia food	inform
can i have the phone number please	request
north	inform
may i have the address	request
noise vietnamese	inform
i need a moderately priced restaurant that serves world food	inform
modern european	inform
thank you good bye	thankyou
i dont care	inform
european food	inform
center	inform
address	request
thank you good bye	thankyou
north	inform
phone number	request
okay thank	thankyou
uh any type of food	inform
can i have the address and phone number	request
anything else	reqalts
russian	inform
im looking for a restaurant serving unusual food	inform
whats the address	request
