may i have the phone number	request
whats the phone number	request
and whats the post code	request
im looking for a expensive restaurant in the	inform
whats the address	request
thank you good bye	thankyou
im looking for an expensive restaurant and it should serve vietnamese food	inform
cut it thank you good bye	bye
okay thank you good bye	thankyou
moderate	inform
what about british food	reqalts
how about a moderately priced restauran	reqalts
italian	inform
what is the address	request
noise ease part of town east	inform
thank you good bye	thankyou
i dont care	inform
any	inform
could i have the phone number and address please	request
again please	repeat
unintelligible	null
what is the phone number	request
im looking for gastropub food	inform
i dont care	inform
anything else	reqalts
thank you good bye	thankyou
yes	affirm
thank you good bye	thankyou
north american	inform
afghan	inform
okay	null
ok if there is no restaurant serving indonesian food how about a restaurant serving chinese food	reqalts
moderate	inform
okay can i get the address	request
address phone number and price range	request
no	negate
food	inform
i need a restaurant in the moderate price range	inform
sea food	inform
may i have the address and phone number	request
uh is there any other	reqalts
can i have the address	request
indian	inform
chinese food	inform
thank you good bye	thankyou
expensive	inform
halal	inform
looking for a moderately priced restaurant that serves british food	inform
whats the post code	request
is it in the center of town	confirm
and post code	request
thank you good bye	thankyou
thank you good bye	thankyou
north	inform
im looking for a restaurant that serves unintelligible food	inform
uh that doesnt matter	inform
no	negate
price	request
cheap restaurant	inform
how about british food	reqalts
whats the address	request
what is the phone number	request
okay and whats the price range	request
address	request
cheap	inform
im looking for a restaurant in the west part of town and it should be cheap	inform
spanish restaurant	inform
thank you good bye	thankyou
address	request
phone number	request
i dont care	inform
what about european	reqalts
phone number	request
thai food	inform
phone number	request
and post code	request
what type of food do they serve	request
the phone number and post code	request
unintelligible	null
food	inform
post code	request
and the area	request
any price range	inform
any type of food	inform
british food	inform
any type	inform
whats the address	request
i want to find an expensive restaurant in the south part of town	inform
looking for a cheap restaurant in the east part of town	inform
moderate european	inform
address phone number area	request
can i get the address and phone number	request
cheap	inform
id like to find a restaurant that serves afghan food	inform
how about turkish	reqalts
what type of food do they serve	request
south town	inform
whats the address and price range	request
address	request
swedish	inform
anything else	reqalts
what about chinese food	reqalts
yes	affirm
restaurant in the west part of town that serves	inform
thank you good bye	thankyou
where is the phone number	request
unintelligible	null
is there	null
im looking at a cheap restaurant and it should be	inform
im looking for a restaurant in any area and it should serve pan asian food	inform
breathing	null
moderately priced restaurant in the south part of town	inform
yes	affirm
itailian	inform
sil	null
thank you good bye	thankyou
yeah	affirm
yes	affirm
good bye	bye
thai food	inform
ah whats the phone number	request
what is the area	request
unintelligible	null
spanish food	inform
can i get the address and phone number	request
thank you good bye	thankyou
what about british food	reqalts
yes	affirm
im looking for a cheap restaurant in the west part of town	inform
whats the address	request
british expensive	inform
i need a moderately priced restaurant in the south part of town	inform
yes	affirm
thank you good bye	thankyou
thank you good bye	thankyou
yes	affirm
dont care	inform
yeah	affirm
i want a restaurant serving persian food	inform
yes	affirm
im looking for a	inform
address	request
expensive restaurant serving world food	inform
change that to any price range	inform
yes	affirm
west	inform
is there anything else	reqalts
bistro food	inform
italian	inform
italian food	inform
uh what about italian food	reqalts
i want a restaurant in the west part of town that serves jamaican	inform
sil	null
whats your address	request
im looking for a moderately priced restaurant in the south part of	inform
thank you good bye	thankyou
east	inform
i dont care noise	inform
thank you good bye	thankyou
im looking for a moderately priced	inform
thank you good bye	thankyou
sil	null
what about indian food	reqalts
none	null
thank you	thankyou
whats the phone number	request
i dont care	inform
dont care	inform
food	inform
